id,relative_abundance,file,type,sample_id,depth
2053287,0.0000383099872234942,2053287.fna.gz,background,positive_5,10000000
1206777,0.0000110585530129674,1206777.fna.gz,background,positive_5,10000000
566,0.000011552238415332,566.fna.gz,background,positive_5,10000000
2565914,0.0000108610788520215,2565914.fna.gz,background,positive_5,10000000
2675710,0.0000481836952707865,2675710.fna.gz,background,positive_5,10000000
2566012,0.0000721768058257068,2566012.fna.gz,background,positive_5,10000000
2487072,0.000102094141209003,2487072.fna.gz,background,positive_5,10000000
2153385,0.0000139219283466822,2153385.fna.gz,background,positive_5,10000000
495,0.0000127370833810071,495.fna.gz,background,positive_5,10000000
2742646,0.0000769161856884072,2742646.fna.gz,background,positive_5,10000000
28109,0.0000109598159324945,28109.fna.gz,background,positive_5,10000000
166935,0.0000137244541857363,166935.fna.gz,background,positive_5,10000000
554406,0.00001283582046148,554406.fna.gz,background,positive_5,10000000
1920110,0.0000766199744469884,1920110.fna.gz,background,positive_5,10000000
483,0.0000540585515589254,483.fna.gz,background,positive_5,10000000
1886807,0.000029621124141877,1886807.fna.gz,background,positive_5,10000000
83771,0.0000161928811975594,83771.fna.gz,background,positive_5,10000000
2675711,0.000165779558114038,2675711.fna.gz,background,positive_5,10000000
38290,0.000281499416428304,38290.fna.gz,background,positive_5,10000000
486,0.0000147118249904656,486.fna.gz,background,positive_5,10000000
487,0.0000152055103928302,487.fna.gz,background,positive_5,10000000
511,0.0000119471867372237,511.fna.gz,background,positive_5,10000000
553,0.0000903444286327247,553.fna.gz,background,positive_5,10000000
2799495,0.0000469001132246385,2799495.fna.gz,background,positive_5,10000000
2675726,0.00001283582046148,2675726.fna.gz,background,positive_5,10000000
2077148,0.000555889763062557,2077148.fna.gz,background,positive_5,10000000
2807631,0.0000789896643783385,2807631.fna.gz,background,positive_5,10000000
624,0.0000476900098684219,624.fna.gz,background,positive_5,10000000
1460447,0.0000175752003241803,1460447.fna.gz,background,positive_5,10000000
3050383,0.0000297198612223499,3050383.fna.gz,background,positive_5,10000000
3073865,0.0003114167518116,3073865.fna.gz,background,positive_5,10000000
2980499,0.00537968982956722,2980499.fna.gz,background,positive_5,10000000
3077940,0.000399194016352028,3077940.fna.gz,background,positive_5,10000000
2747372,0.00196467042725022,2747372.fna.gz,background,positive_5,10000000
1848517,0.000216431680396648,1848517.fna.gz,background,positive_5,10000000
2894203,0.0000661538439168585,2894203.fna.gz,background,positive_5,10000000
2494702,0.0000117497125762779,2494702.fna.gz,background,positive_5,10000000
67826,0.0000126383463005342,67826.fna.gz,background,positive_5,10000000
1259973,0.0000696096417334108,1259973.fna.gz,background,positive_5,10000000
2004710,0.0000193524677726929,2004710.fna.gz,background,positive_5,10000000
2751,0.0000163409868182688,2751.fna.gz,background,positive_5,10000000
80867,0.0000525281268115951,80867.fna.gz,background,positive_5,10000000
267212,0.0000168840407608699,267212.fna.gz,background,positive_5,10000000
2841264,0.0000110585530129674,2841264.fna.gz,background,positive_5,10000000
659350,0.0000197474160945846,659350.fna.gz,background,positive_5,10000000
46867,0.0000121446608981696,46867.fna.gz,background,positive_5,10000000
587,0.0000580574033180788,587.fna.gz,background,positive_5,10000000
2894202,0.0000800757722635407,2894202.fna.gz,background,positive_5,10000000
6550,0.000000286102567770546,GCA_963676595.2_xbMytEdul2.2_alternate_haplotype.fna.gz,food,positive_5,10000000
385388,0.00000114441027108218,GCA_022316695.1_ASM2231669v1.fna.gz,food,positive_5,10000000
20340,0.00000457764108432873,GCA_034509205.1_ASM3450920v1.fna.gz,food,positive_5,10000000
455045,0.0000183105643373149,GCA_035048815.1_WUR_AEscu_1.fna.gz,food,positive_5,10000000
3914,0.0000732422573492597,GCA_016808095.1_ASM1680809v1.fna.gz,food,positive_5,10000000
403101,0.000292969029397039,403101.fna.gz,food,positive_5,10000000
4513,0.00117187611758816,GCA_949783135.1_Hvulgare_cv_RGT_Planet_BPGv2.fna.gz,food,positive_5,10000000
283035,0.00468750447035262,GCA_023718385.1_ASM2371838v1.fna.gz,food,positive_5,10000000
13427,0.0187500178814105,GCA_030463085.1_CHIC_2.0.fna.gz,food,positive_5,10000000
93297,0.075000071525642,GCA_017589505.3_Sago_v3.fna.gz,food,positive_5,10000000
47678,0.0170902811514864,47678.fna.gz,background,positive_6,10000000
820,0.0619744126164931,820.fna.gz,background,positive_6,10000000
674529,0.00798817794358632,674529.fna.gz,background,positive_6,10000000
817,0.0140304379568205,817.fna.gz,background,positive_6,10000000
818,0.0206705580204618,818.fna.gz,background,positive_6,10000000
28116,0.0206803693798946,28116.fna.gz,background,positive_6,10000000
371601,0.0188414021893758,371601.fna.gz,background,positive_6,10000000
2755405,0.00454895201997026,2755405.fna.gz,background,positive_6,10000000
2785531,0.0013516656683269,2785531.fna.gz,background,positive_6,10000000
2528203,0.00199539382675247,2528203.fna.gz,background,positive_6,10000000
556259,0.000597442032623262,556259.fna.gz,background,positive_6,10000000
3117552,0.000272169676555839,3117552.fna.gz,background,positive_6,10000000
2162637,0.000928493124127224,2162637.fna.gz,background,positive_6,10000000
2709390,0.0000569507252077781,2709390.fna.gz,background,positive_6,10000000
291645,0.000771695592748496,291645.fna.gz,background,positive_6,10000000
2792859,0.00317738583267879,2792859.fna.gz,background,positive_6,10000000
329854,0.00116631292509079,329854.fna.gz,background,positive_6,10000000
1796613,0.000177933248066764,1796613.fna.gz,background,positive_6,10000000
2715212,0.0000769418278555747,2715212.fna.gz,background,positive_6,10000000
28111,0.00671971808226168,28111.fna.gz,background,positive_6,10000000
291644,0.00180384393804695,291644.fna.gz,background,positive_6,10000000
246787,0.0164508355516381,246787.fna.gz,background,positive_6,10000000
46506,0.0465726470604258,46506.fna.gz,background,positive_6,10000000
2650158,0.000123332365321098,2650158.fna.gz,background,positive_6,10000000
338188,0.00204453672084456,338188.fna.gz,background,positive_6,10000000
2650157,0.000242393998624363,2650157.fna.gz,background,positive_6,10000000
290053,0.0000241443361205517,290053.fna.gz,background,positive_6,10000000
28113,0.0000164957190886743,28113.fna.gz,background,positive_6,10000000
821,0.133774921120057,821.fna.gz,background,positive_6,10000000
357276,0.0586210761269737,357276.fna.gz,background,positive_6,10000000
387090,0.000366093670281415,387090.fna.gz,background,positive_6,10000000
376805,0.000164689323903085,376805.fna.gz,background,positive_6,10000000
165179,0.0620179323122689,165179.fna.gz,background,positive_6,10000000
2518605,0.00204356515212811,2518605.fna.gz,background,positive_6,10000000
454154,0.00201727610879285,454154.fna.gz,background,positive_6,10000000
454155,0.000412053612966666,454155.fna.gz,background,positive_6,10000000
28128,0.000483812125483614,28128.fna.gz,background,positive_6,10000000
28131,0.0000744855728776162,28131.fna.gz,background,positive_6,10000000
28127,0.0000840730166748724,28127.fna.gz,background,positive_6,10000000
328813,0.0123503991296163,328813.fna.gz,background,positive_6,10000000
328814,0.00520613791382424,328814.fna.gz,background,positive_6,10000000
214856,0.00654899323732198,214856.fna.gz,background,positive_6,10000000
2585118,0.00222788808442986,2585118.fna.gz,background,positive_6,10000000
1288121,0.000326091135218033,1288121.fna.gz,background,positive_6,10000000
538949,0.00571204715714059,538949.fna.gz,background,positive_6,10000000
626932,0.000326663028650534,626932.fna.gz,background,positive_6,10000000
1470347,0.000464334687091212,1470347.fna.gz,background,positive_6,10000000
2364787,0.000146560115539796,2364787.fna.gz,background,positive_6,10000000
2585119,0.000358728686150363,2585119.fna.gz,background,positive_6,10000000
2662363,0.000564586193584649,2662363.fna.gz,background,positive_6,10000000
823,0.0144529618725447,823.fna.gz,background,positive_6,10000000
387661,0.00051979210354841,387661.fna.gz,background,positive_6,10000000
328812,0.00260629898294636,328812.fna.gz,background,positive_6,10000000
46503,0.0140681811302222,46503.fna.gz,background,positive_6,10000000
2025876,0.00199696664670597,2025876.fna.gz,background,positive_6,10000000
28118,0.00348081051424033,28118.fna.gz,background,positive_6,10000000
2093856,0.000177495417977011,2093856.fna.gz,background,positive_6,10000000
544645,0.000246267216859719,544645.fna.gz,background,positive_6,10000000
1472416,0.00117363762136723,1472416.fna.gz,background,positive_6,10000000
397865,0.0000927085819053567,397865.fna.gz,background,positive_6,10000000
1099853,0.000173538906855624,1099853.fna.gz,background,positive_6,10000000
1501392,0.000161918072152806,1501392.fna.gz,background,positive_6,10000000
28123,0.0000380321970791786,28123.fna.gz,background,positive_6,10000000
322095,0.0000454314905758264,322095.fna.gz,background,positive_6,10000000
1118202,0.0000162288911916142,1118202.fna.gz,background,positive_6,10000000
301301,0.00264162245908867,301301.fna.gz,background,positive_6,10000000
166486,0.0179321831536073,166486.fna.gz,background,positive_6,10000000
2763062,0.000347986223722091,2763062.fna.gz,background,positive_6,10000000
1261635,0.0000254953451502895,1261635.fna.gz,background,positive_6,10000000
1261634,0.0000142041177541876,1261634.fna.gz,background,positive_6,10000000
39491,0.0199168056426683,39491.fna.gz,background,positive_6,10000000
46228,0.000768798275314264,46228.fna.gz,background,positive_6,10000000
33039,0.0018223097814077,33039.fna.gz,background,positive_6,10000000
33038,0.0013979483384415,33038.fna.gz,background,positive_6,10000000
2763672,0.0055064403428828,2763672.fna.gz,background,positive_6,10000000
40520,0.000982970340575262,40520.fna.gz,background,positive_6,10000000
418240,0.0019727796873042,418240.fna.gz,background,positive_6,10000000
53443,0.0000724154204368497,53443.fna.gz,background,positive_6,10000000
89014,0.000130939240858898,89014.fna.gz,background,positive_6,10000000
2479767,0.000133977715842049,2479767.fna.gz,background,positive_6,10000000
1322,0.0000773111340102988,1322.fna.gz,background,positive_6,10000000
1532,0.0000574581430872861,1532.fna.gz,background,positive_6,10000000
33035,0.000025065938014094,33035.fna.gz,background,positive_6,10000000
1912897,0.0000455941041720114,1912897.fna.gz,background,positive_6,10000000
2877527,0.000171021075580544,2877527.fna.gz,background,positive_6,10000000
410072,0.000661988211118032,410072.fna.gz,background,positive_6,10000000
33043,0.00051623448311762,33043.fna.gz,background,positive_6,10000000
88431,0.00177331878130263,88431.fna.gz,background,positive_6,10000000
39486,0.000448275073486781,39486.fna.gz,background,positive_6,10000000
39485,0.00157990573813064,39485.fna.gz,background,positive_6,10000000
208479,0.00124824613946966,208479.fna.gz,background,positive_6,10000000
333367,0.000148900141403769,333367.fna.gz,background,positive_6,10000000
649756,0.00169312931179491,649756.fna.gz,background,positive_6,10000000
105841,0.000256483221656568,105841.fna.gz,background,positive_6,10000000
39488,0.000715459493222885,39488.fna.gz,background,positive_6,10000000
29347,0.00023272873873421,29347.fna.gz,background,positive_6,10000000
89153,0.0000211900033092864,89153.fna.gz,background,positive_6,10000000
1871021,0.000114278659277271,1871021.fna.gz,background,positive_6,10000000
2763667,0.0000212191628055196,2763667.fna.gz,background,positive_6,10000000
45851,0.00203400410439074,45851.fna.gz,background,positive_6,10000000
168384,0.0000303816513991174,168384.fna.gz,background,positive_6,10000000
2763670,0.00211594973983195,2763670.fna.gz,background,positive_6,10000000
3028070,0.0000324211266789558,3028070.fna.gz,background,positive_6,10000000
1653434,0.00016017183711724,1653434.fna.gz,background,positive_6,10000000
84030,0.0000183873684898749,84030.fna.gz,background,positive_6,10000000
853,0.0468842330559479,853.fna.gz,background,positive_6,10000000
2929491,0.00267570089833142,2929491.fna.gz,background,positive_6,10000000
2929495,0.00363005276707678,2929495.fna.gz,background,positive_6,10000000
2929493,0.00249814934147244,2929493.fna.gz,background,positive_6,10000000
2929494,0.00114772727006858,2929494.fna.gz,background,positive_6,10000000
2929488,0.00593735385146919,2929488.fna.gz,background,positive_6,10000000
2929492,0.000407536880089325,2929492.fna.gz,background,positive_6,10000000
2929489,0.0021133594195434,2929489.fna.gz,background,positive_6,10000000
2929490,0.0014397494236092,2929490.fna.gz,background,positive_6,10000000
411483,0.00350709584390301,411483.fna.gz,background,positive_6,10000000
2714355,0.000903494776879761,2714355.fna.gz,background,positive_6,10000000
2714353,0.000212344700842172,2714353.fna.gz,background,positive_6,10000000
1160721,0.00301167034484752,1160721.fna.gz,background,positive_6,10000000
1550024,0.000973500154203347,1550024.fna.gz,background,positive_6,10000000
2108523,0.000592843284322563,2108523.fna.gz,background,positive_6,10000000
169435,0.000458318980258425,169435.fna.gz,background,positive_6,10000000
292800,0.00317084586634317,292800.fna.gz,background,positive_6,10000000
2714358,0.000346004542558207,2714358.fna.gz,background,positive_6,10000000
2093857,0.00149699992075592,2093857.fna.gz,background,positive_6,10000000
2109687,0.00157141635643492,2109687.fna.gz,background,positive_6,10000000
214851,0.00012978550396697,214851.fna.gz,background,positive_6,10000000
2780922,0.0000437551543651306,2780922.fna.gz,background,positive_6,10000000
2766537,0.0000584815239592011,2766537.fna.gz,background,positive_6,10000000
154046,0.00048010359871227,154046.fna.gz,background,positive_6,10000000
1042156,0.0000134730571911743,1042156.fna.gz,background,positive_6,10000000
1155388,0.000434954381604123,1155388.fna.gz,background,positive_6,10000000
1502,0.0000645334654489747,1502.fna.gz,background,positive_6,10000000
1529,0.0000404209525338085,1529.fna.gz,background,positive_6,10000000
1297617,0.000345069959167692,1297617.fna.gz,background,positive_6,10000000
2086584,0.000224498499871285,2086584.fna.gz,background,positive_6,10000000
2610895,0.000146685859150562,2610895.fna.gz,background,positive_6,10000000
39496,0.000965427043296824,39496.fna.gz,background,positive_6,10000000
53442,0.0000418803756799193,53442.fna.gz,background,positive_6,10000000
2841528,0.0000806286999141891,2841528.fna.gz,background,positive_6,10000000
3079303,0.0000519222018220262,3079303.fna.gz,background,positive_6,10000000
